case_id,batch_id,source_study,source_path,aoa_deg,re,nu,model,mesh_level,end_time,write_interval,purge_write,role,include_in_dataset,status
anchor_aoa_0,batch_000,aoaVariation,../aoaVariation/runs/aoa_0,0,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_4,batch_000,aoaVariation,../aoaVariation/runs/aoa_4,4,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_8,batch_000,aoaVariation,../aoaVariation/runs/aoa_8,8,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_10,batch_000,aoaVariation,../aoaVariation/runs/aoa_10,10,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_12,batch_000,aoaVariation,../aoaVariation/runs/aoa_12,12,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_14,batch_000,aoaVariation,../aoaVariation/runs/aoa_14,14,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
anchor_aoa_15,batch_000,aoaVariation,../aoaVariation/runs/aoa_15,15,6000000,8.58000000e-06,SpalartAllmaras,L4,10000,10000,source_case,anchor,true,external_anchor
lhs_000,batch_001,parametricDataset,runs/lhs_000,-2.69985587516,5609729.72155,9.17691271e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_001,batch_001,parametricDataset,runs/lhs_001,11.5441733601,8810629.42407,5.84294237e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_002,batch_001,parametricDataset,runs/lhs_002,-0.242450350026,4776842.09841,1.07769943e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_003,batch_001,parametricDataset,runs/lhs_003,15.246014215,3937620.66456,1.30738851e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_004,batch_001,parametricDataset,runs/lhs_004,13.4458572319,4105183.67901,1.25402428e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_005,batch_001,parametricDataset,runs/lhs_005,0.83504579777,6178932.92481,8.33153566e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_006,batch_001,parametricDataset,runs/lhs_006,9.16872014865,6146475.1365,8.37553213e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_007,batch_001,parametricDataset,runs/lhs_007,15.6508351893,6493313.93953,7.92815510e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_008,batch_001,parametricDataset,runs/lhs_008,4.55360915309,8025966.97573,6.41418039e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_009,batch_001,parametricDataset,runs/lhs_009,-3.04032140369,7148144.70128,7.20186876e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_010,batch_001,parametricDataset,runs/lhs_010,3.83547235581,7033849.49323,7.31889416e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_011,batch_001,parametricDataset,runs/lhs_011,3.36698898893,5242600.29006,9.81955464e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_012,batch_001,parametricDataset,runs/lhs_012,6.79602561829,3226732.84625,1.59542182e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_013,batch_001,parametricDataset,runs/lhs_013,12.7949644268,6299182.67509,8.17248882e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_014,batch_001,parametricDataset,runs/lhs_014,7.14750915513,5833043.33615,8.82558161e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_015,batch_001,parametricDataset,runs/lhs_015,14.1756066881,6866978.83661,7.49674656e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_016,batch_001,parametricDataset,runs/lhs_016,1.47367109421,7932471.96168,6.48978027e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_017,batch_001,parametricDataset,runs/lhs_017,-0.619791171779,5783889.98216,8.90058424e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_018,batch_001,parametricDataset,runs/lhs_018,10.9689264739,3389855.61288,1.51864875e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_019,batch_001,parametricDataset,runs/lhs_019,11.2730823518,5502815.36222,9.35521122e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_020,batch_001,parametricDataset,runs/lhs_020,-3.42787319028,7628036.19663,6.74878811e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_021,batch_001,parametricDataset,runs/lhs_021,-1.66181287351,3634431.29505,1.41645269e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_022,batch_001,parametricDataset,runs/lhs_022,8.56727682649,3862239.17261,1.33290554e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_023,batch_001,parametricDataset,runs/lhs_023,1.26731768193,8433037.68518,6.10456183e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_024,batch_001,parametricDataset,runs/lhs_024,11.1239363635,5610931.3713,9.17494736e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_025,batch_002,parametricDataset,runs/lhs_025,7.8638768268,7522037.06288,6.84389077e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_026,batch_002,parametricDataset,runs/lhs_026,2.66308583188,7849183.47578,6.55864399e-06,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_027,batch_002,parametricDataset,runs/lhs_027,8.19131206635,4516158.82605,1.13990677e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
lhs_028,batch_002,parametricDataset,runs/lhs_028,6.62376444082,3004570.54736,1.71338962e-05,SpalartAllmaras,L4,10000,10000,1,lhs,true,not_generated
